,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,751,0,31,41,8,1,156,1,11,0
Trouser,1,957,4,22,3,1,11,0,1,0
Pullover,4,0,817,5,74,0,97,0,3,0
Dress,21,6,24,803,45,2,95,1,3,0
Coat,1,1,73,21,809,0,95,0,0,0
Sandal,0,0,0,0,0,905,0,78,2,15
Shirt,93,0,61,29,112,0,692,0,13,0
Sneaker,0,0,0,0,0,13,0,959,2,26
Bag,3,0,4,4,10,3,17,2,956,1
Ankle boot,0,0,0,2,0,5,1,45,2,945
